inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;3;4;120;1.0162464002573325e6;97.718742974
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;4;2;120;453756.7726433332;21.402589424000002
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;4;2;120;407099.3548306654;19.533544283999998
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;4;2;120;1.0126497583539992e6;87.025025374
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;4;3;120;451780.35451499996;34.903099017
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;4;3;120;406285.3698789987;24.544153178000002
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;4;3;120;1.017478279968333e6;92.02320963300001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;0;4;4;120;452322.9383226666;29.608561863
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;0;4;4;120;406299.9461023313;37.530518285
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;0;4;4;120;1.0240591300943326e6;92.84571378
